时间	转发数	评论数	点赞数	微博内容	字数	转发	转发内容	
03-31	1	45	32	放心，去东部了，而且还在减弱。	0	是	你是猴子派来的救兵吗？别走错方向，过了香港就对了，大概还要1小时左右就可以到达。 
03-31	0	22	19	回复@Icemochaccino_:你知道我们的雷达在哪里吗？在深圳求雨坛//@Icemochaccino_:别下雨了啊！！！彦祖你不能因为你被打脸就求雨啊～	0	是	你是猴子派来的救兵吗？别走错方向，过了香港就对了，大概还要1小时左右就可以到达。 
03-31	4	89	38	你是猴子派来的救兵吗？别走错方向，过了香港就对了，大概还要1小时左右就可以到达。 	86	否	
03-31	4	50	17	【深圳市天气提示】今明两天沿海有偏东大风、天气稍凉：31日-4月1日阴天间多云，有阵雨，气温下降，沿海和高地有7-8级阵风，天气稍凉，31日气温21-24℃，冷暖转换频繁，请注意做好疾病控制预防及宣传；4月2日至清明假期多云为主，天气温暖，请加强野外用火安全管理。 深圳市气网页链接 	274	否	
03-31	1	54	20	回复@体重保持达人Jan:请问还有什么水果，不要长在树上的//@体重保持达人Jan:石榴是彦祖哒，请你吃枇杷吧 查看图片	0	是	风真的很大，尤其是高地和沿海地区，我眼睛被吹得睁不开，看不到你们在评论什么 
03-31	12	100	44	风真的很大，尤其是高地和沿海地区，我眼睛被吹得睁不开，看不到你们在评论什么 	80	否	
03-31	3	21	15	【深圳市分区大风蓝色预警】深圳市气象台于2019年03月31日09时05分在盐田区，大鹏新区和东部海区发布大风蓝色预警，预计平均风力将达6级以上（或阵风8级以上），信号可能从今天上午持续到明天，做好防风准备，落实各项防风措施，请市民远离海边，尽量避免海上活动。网页链接 	264	否	
03-31	2	16	25	回复@空灵Party:666，你是龙王派来的卧底吗？//@空灵Party:这好几天都是早上清澈明朗点，午后就不行了。今天风大，乌云被吹散了，风力减弱的话，午后还不好说。	0	是	阳光，早上好！ 
03-31	3	13	17	【深圳市大风提示】受偏东气流影响，今天白天我市沿海和高地风力较大，最大阵风可达6-7级，请注意做好防风措施。深圳市气象台2019年03月31日07时50分发布网页链接 	161	否	
03-31	14	93	89	阳光，早上好！ 	21	否	
03-31	5	81	56	降雨云团都离得远远的，上午天气多云为主，小伙伴们户外可以约起了。 	64	否	
03-31	5	28	24	【上班天气】阴天，天气清凉：预计早晨6-9时，全市阴天，偶有分散小雨；气温21-23℃；偏东风2-3级；早晨天气较凉，请及时添加衣服；白天有小雨，出门注意带伞。 深圳市气象台2019年03月31日05时36分发布。网页链接 	208	否	
03-31	3	21	22	【今日天气】我市阴天间多云，有小雨；气温21-24℃；偏东风3级，沿海和高地阵风6-7级；相对湿度65%-95% 深圳市气象台2019年03月31日05时07分发布。网页链接 	155	否	
03-30	0	64	40	宝安北部和光明有降雨云团活动，外出最好带伞。 	44	否	
03-30	6	52	30	风景如画，美得冒泡。小伙伴们可知道深圳哪里有踏青的好去处？	0	是	【这7个小众赏花地，还你一片梦幻春景！】冬去春来，桃红李白，杨柳青青，草长莺飞，来一场说走就走的旅行，莫负了大好春光！在樱花流水边小憩，驾一叶扁舟在油菜花田徜徉，在百里杜鹃林听苗族姑娘放歌...微辣Video的秒拍视频 （via 头条新闻） 
03-30	3	123	46	有点弱弱的雷达回波，局地会飘点毛毛雨。请问怎么收回3个小时无雨的话？ 	73	否	
03-30	2	35	33	今天华北基本都是晴空，在卫星云图上 #山西沁源森林大火# 造成的烟就非常明显，这一条和周围云方向明显不同的就是森林大火飘出来的烟。清明节快到了，预计深圳4月初至清明假期降水少，清明祭祖扫墓、外出踏青活动需特别注意野外用火安全。 	221	否	
03-30	0	27	14	回复@Charlie-Munger:就预报未来三个小时的天气不能再打脸了吧//@Charlie-Munger:欢迎收看打脸预报	0	是	【下班天气】【下班天气】预计17-20时，全市阴天；气温21-25℃；东南风2-3级；相对湿度70%-90%；中西部地区能见度7-10公里，东部地区能见度10-20公里。傍晚到夜间无降雨，气温舒适，较适合户外活动。 深圳市气象台2019年03月30日16时47分发布。网页链接 
03-30	2	17	14	【下班天气】【下班天气】预计17-20时，全市阴天；气温21-25℃；东南风2-3级；相对湿度70%-90%；中西部地区能见度7-10公里，东部地区能见度10-20公里。傍晚到夜间无降雨，气温舒适，较适合户外活动。 深圳市气象台2019年03月30日16时47分发布。网页链接 	244	否	
03-30	8	18	19	【深圳市天气提示】#明后两天有雨天气转凉#31日-4月1日阴天到多云，有小雨，气温下降，沿海和高地有6-7级阵风，天气转凉，31日气温21-24℃，请注意及时添衣；4月2日至清明假期多云为主，天气温暖，清明祭祖扫墓、外出踏青活动需特别注意野外用火安全。深圳市气象台2019年03月30日16时10分发布  ...全文	291	否	
03-30	0	30	25	西部云层比较薄，气温24-26℃。东部云量较多，盐田甚至有一点点降雨，气温21℃左右 	77	否	
03-30	8	213	160	看到评论里各位报告哪里哪里下小雨了，真的是这种量级的降雨自动站记录不到，雷达也看不见。胖友， ...全文	401	否	
03-30	9	146	145	大家今天白天放心晾晒吧，我们时刻盯着云图。🙃 	46	否	
03-30	3	80	49	南边的云量逐渐增多，现在只剩宝安光明还能见到太阳。今天下雨是不可能的，就连明天的雨都是平缓的小雨 	96	否	
03-30	9	172	122	出太阳了，今天比较温暖，不会下雨，可以出门玩耍 	52	否	
03-30	3	59	40	今天白天到傍晚，多云，有阳光，无雨，气温22-26度，湿度55%-85%，风力2-3级，阵风5级左右，能见度10-30公里。非常好的天气！网页链接 	135	否	
03-30	3	26	28	【上班天气】预计早晨6-9时，全市多云；气温22-24℃，北部和高地偏低1-3℃；相对湿度65%-95%，偏北风3级，最大阵风5-6级；能见度3-20公里。局部地区风力稍大，注意防风；其它天气条件好，不影响交通和外出。 深圳市气象台2019年03月30日05时35分发布。网页链接 	251	否	
03-30	9	16	35	【今日天气】我市多云，大部分时间可见阳光；气温22-26℃；东北风2-3级；相对湿度55%-95% 深圳市气象台2019年03月30日05时24分发布。网页链接 	142	否	
03-29	1	34	31	【周日有雨吗】周日有小到中雨，比周六的雨要明显些，因此有事情尽量安排周六做吧。当然对降雨不敏感的，小到中雨也没啥大不了啊。毕竟深圳的雨季下点雨是很正常的了。网页链接 	174	否	
03-29	2	47	46	发布了头条文章：《雨在周末一时爽，一直周末一直爽》  雨在周末一时爽，一直周末一直爽 	71	否	
03-29	2	30	32	【周六天气】多云，有分散小雨，气温22-26℃。天气不错，比较适合外出活动。只是可能有短时小雨，外出带把小伞吧。  体考或其它一般活动都不影响；天气较舒适，外出穿单衣够了。 	173	否	
03-29	1	23	15	【深圳市取消雷电预警】雷暴云团已减弱，深圳市气象台于2019年03月29日19时50分在全市取消雷电预警。网页链接 	112	否	
03-29	4	113	37	【下班遇降雨】降雨已经开始影响南山区和福田区，东部城区稍后也将逐渐转雨，虽然降雨强度不大，但适逢周末下班高峰期，请各位注意交通安全以及错峰出行，比如…加一会儿班再走。 	176	否	
03-29	2	40	16	【深圳气象】【深圳市雷电预警】深圳市气象台于2019年03月29日16时55分在全市发布雷电预警，预计30分钟后全市自西向东将受雷阵雨影响，按照防御预案停止户外易燃易爆危险作业，并加强危化场所安全管理。 	188	否	
03-29	1	23	12	【下班天气】预计17-20时，全市自西向东先后转小雨，并伴有零散雷暴，雨时能见度较低，适逢下班和放学高峰期，请注意携带雨具以及错峰出行，全市雷电预警信号生效中。 	155	否	
03-29	0	18	18	【深圳市降雨提示】受降雨云团影响，17时起我市自西向东转雷阵雨，最大小时雨量10-20毫米。恰逢下班和放学时段，外出最好带伞，降雨时能见度差、路面湿滑，请注意交通安全。深圳市气象台2019年03月29日16时45分发布网页链接 	218	否	
03-29	5	48	24	【深圳市天气提示】周日至下周初有小到中雨天气明显转凉：30日阴天间多云，偶有分散小雨，气温22-26℃；受冷空气影响，31日-4月1日，有小到中雨，气温下降4-5℃，沿海和高地有6-7级阵风，明显转凉；4月2日起转多云可见阳光，气温回升。网页链接 	237	否	
03-29	10	87	24	降雨已经开始影响隔壁老东，预计5点以后开始影响深圳，各位请注意啦！	0	是	这雨严重迟到了！！！现在终于到东莞了，西北边的朋友记得收好衣服，关好门窗~~~南边的朋友也可以提前做好准备 
03-29	3	74	37	【傍晚转阵雨】午后天色阴沉，但暂时不会有雨！目前一条笔直的雨带“斜劈”全省，雨带移动缓慢，预计影响到深圳要到傍晚前后，大家注意提前将晾晒的衣物收回。 	164	否	
03-29	6	74	38	虽然目前气温不算高，普遍在25-28℃，但中午前后体感闷热，睡午觉可能要开空调了。 	83	否	
03-29	1	34	21	今日相对湿度普遍比昨日增大了5%左右，且天空云量较多，所以各位体感比昨天闷热也是正常。要缓解这种天气，只待周末的弱冷空气“出手”啦。 	136	否	
03-29	2	34	24	虽然目前天色稍显阴沉，但上午降雨可能性不大，主要降雨云系还在粤北，预计傍晚到夜间才轮到我们转雨，所以白天还是可以晾晒的，虽然云量又双叒叕增多了..... 	147	否	
03-29	1	14	11	【深圳市取消分区大雾预警】能见度将逐渐好转，深圳市气象台于2019年03月29日08时50分在盐田区，大鹏新区和东部海区取消大雾黄色预警。网页链接 	144	否	
03-29	5	59	37	全市相对湿度普遍在80%以上，预计今天白天最高气温在28-29℃，体感闷热的一天又要开始了。 	90	否	
03-29	2	12	24	目前东部沿海地区能见度较差，局地能见度低于1公里，特别注意交通安全 	65	否	
03-29	2	15	33	【上班天气】东部沿海有雾：预计早晨6-9时，全市多云为主。东部地区能见度在2-5公里，局地低于1公里。早晨东部沿海地区有雾，能见度差，注意交通安全！ 深圳市气象台2019年03月29日05时13分发布。网页链接 	200	否	
03-29	4	15	29	【今日天气】我市多云，早晚有轻雾，白天可见阳光，夜间转阵雨或雷阵雨；气温22-28℃；东南风2-3级；相对湿度60%-90% 深圳市气象台2019年03月29日05时05分发布。网页链接 	168	否	
03-29	0	5	11	【深圳市分区大雾黄色预警】深圳市气象台于2019年03月29日05时00分在盐田区，大鹏新区和东部海区发布大雾黄色预警，预计能见度将降至500米以下，机场、高速公路、港口、码头等单位采取必要措施保证交通安全。网页链接 	211	否	
03-28	4	81	51	明天天气还是不错的，周末有小幅的降温并伴有降雨 	52	否	
03-28	7	35	41	只看图片已经瑟瑟发抖，还好深圳近期是不会出现的，各位可以放心	0	是	#气象在现场# 【永州回南天“冒水”严重】自27日晚间起至28早晨，永州出现“回南天”天气，墙壁、玻璃、地面到处“冒水”，湿哒哒的，空气似乎都能拧出水来。“回南天”一般是由于长时间低温后天气突然变得暖湿而形成的，此时的天气阴晴不定，提醒市民注意防滑防霉。（图/文 曾志龙)#只有南方人才懂的回南天#
03-28	6	53	49	晚上8点还有24℃左右，眼看就要4月了，那么夏天也就不远了，是时候开始运动起来了 	76	否	
03-28	22	83	93	今天我市部分地区最高气温普遍接近30℃，接近30℃说明了什么？说明“满减活动”又要开始啦！本周末再次推出气温“满30减10”，预计在弱冷空气影响下，周末最低气温在20℃左右，并配合阴天和阵雨，“逢周末，就有雨”套餐又来啦！ 	217	否	
03-28	1	4	8	【下班天气】预计17-20时；全市多云为主；气温24-26℃；偏南风2-3级；相对湿度70%-90%；全市能见度基本在10公里以上。傍晚到夜间无降雨，气温舒适，较适合户外活动。 深圳市气象台2019年03月28日16时45分发布。网页链接 	213	否	
03-28	4	29	18	【深圳市天气提示】29日夜间起转有雨天气：29日白天多云，早晚有轻雾，29日夜间-31日阴天为主，间中有阵雨，偶有零散雷暴，其中31日受弱冷空气影响，气温略降，沿海和高地阵风可达7级；4月1日降雨结束，早晚清凉；2日起可见阳光。请关注雨雾天气和沿海大风的影响。深圳市气象台网页链接 	275	否	
03-28	0	8	21	从今日最高气温分布来看，盐田区果真是避暑胜地~@盐田发布 	60	否	
03-28	3	30	29	深圳市国家基本站今日最高气温：28.1℃ 查看图片	0	是	美呆了~~3月北京延庆的雪下得那么认真，那么令人心醉 中国天气的秒拍视频 
03-28	4	34	65	微小而确切的炎热，简称“小确热”。 	34	否	
03-28	1	54	60	云层又变厚了，但并不会有雨，请各位放心吧~ 	49	否	
03-28	7	61	42	今天之所以体感偏热，是由于目前偏南暖湿气流已经占据主导。当然这个季节正是冷暖交替出现的时候，不是暖湿气流主导，就是冷空气影响。比如这个周末，在弱冷空气影响下，我市再转阴天伴有些小雨，“逢周末、必有雨”定律再来~ 	213	否	
03-28	2	84	54	#中午前后体感较热#午餐冰激凌可以安排上了！ 	46	否	
03-28	6	63	42	预计今天白天我市最高气温在28℃或以上，如果大家现在已经感觉有点热，不知这样能否让你们体感舒适一些。	0	是	鹅毛大雪 内蒙古天气的秒拍视频 
03-28	17	33	62	气象学子们，朝着首席预报员的方向奋进吧！@南京信息工程大学 @成都信息工程大学 @广东海洋大学	0	是	@深圳天气 过于真实，引起不适！ #气象在现场# 
03-28	1	56	55	今早全市最低气温普遍在21℃左右，而目前部分地区气温已达到25℃，预计中午前后体感偏热，早晨穿着短袖出门的，可以深藏功与名了。 	132	否	
03-28	2	82	83	一大早就开始思考：哪里的最高气温比咱们的最低气温（21-22℃）还要低呢？ 	69	否	
03-28	5	11	24	【上班天气】早晨能见度5-8公里，出行注意交通安全：预计早晨6-9时，全市多云；气温21-23℃；有轻雾，光明、宝安、南山、龙华和龙岗区能见度较低在2-5公里，其余地区能见度在5公里以上，出行需注意交通安全。 深圳市气象台2019年03月28日05时36分发布。网页链接 	252	否	
03-28	2	12	25	【今日天气】我市多云，早晚有轻雾；气温22-28℃；东南风2-3级；相对湿度65%-95% 深圳市气象台2019年03月28日05时21分发布。网页链接 	134	否	
03-27	97	176	444	职业生涯规划。@中国天气 @中央气象台 	35	否	
03-27	8	113	78	对所有喜欢深圳天气的筒子们说一句：在干嘛（啥）？你们懂的如此舒适的温度~去嗨呀！ 	85	否	
03-27	5	29	40	今晚天气舒适，非常适合夜间活动，但是湿度较大，可能会有轻雾或雾，出行需注意交通安全 	82	否	
03-27	0	7	14	【下班天气】预计17-20时，全市多云为主，西部沿海能见度5-10公里，其余大部分地区能见度15公里以上，空气湿度较大，夜间有轻雾，注意行车安全。 深圳市气象台2019年03月27日16时51分发布。网页链接 	194	否	
03-27	6	60	25	【深圳市天气提示】28日持续暖湿，29日多云转雨：28日可见阳光，早晚有轻雾或雾，气温20-27℃；29日多云转阵雨；30-31日受冷空气影响，有阵雨或雷阵雨，气温明显下降，天气转凉，31日沿海和高地阵风7-8级；4月1日降雨结束转多云，天气清凉；2-3日可见阳光，气温回升。请关注雨网页链接 	274	否	
03-27	2	53	50	看到太阳了吧各位胖友们？气温如约升到了27℃，终于可以不被打脸了 	62	否	
03-27	3	29	32	西边的云层在变薄，所以温度率先升到了25℃，再努力一下说不定午后就能见到阳光了 	76	否	
03-27	148	37	56	市民中心灯光秀本周五正式恢复，以后每周五和周六晚上各三场//@深圳教育: 市中心区灯光表演于3月29日再次开秀	0	是	#温馨提示#【市中心区灯光表演于3月29日再次开秀】因配合春晚深圳分会场工作，市中心区灯光表演从2018年12月28日开始暂停。目前，市民中心广场的现场清理和恢复工作已完成。市中心区灯光表演定于2019年3月29日恢复。表演时间从2019年3月29日（周五）开始，具体安排为：周五、周六及国家法定节假日每晚表演三场，时间分别为19:30、20:30、21:30。                                     深圳市城市管理和综合执法局  福田区人民政府                                         2019年3月27日
03-27	5	27	39	今天起得晚没看到阳光的朋友们，可以在飞机上晒个太阳	0	是	深圳@深圳天气 晴空万里，带着彦祖去旅行[並不簡單]瞧我！ 深港·小誠的微博视频 
03-27	1	79	40	现在云有点多，但是今天的阳光是不会少的。西部地区现在有一点轻雾，稍后会随着阳光的增多逐渐消散 	92	否	
03-27	6	29	32	【上班天气】天气舒适：预计早晨6-9时，全市多云为主，大部分地区能见度在5-15公里，早晨天气平稳舒适，对交通无不利影响。 深圳市气象台2019年03月27日05时25分发布。网页链接 	174	否	
03-27	5	12	30	【今日天气】我市多云，早晚有轻雾；气温20-27℃；东风2-3级；相对湿度65%-95% 深圳市气象台2019年03月27日05时15分发布。网页链接 	132	否	
03-26	1	28	42	晚上温度还是很舒服的 	20	否	
03-26	18	178	97	降温下雨为何总在周末 	26	否	
03-26	6	49	52	周末还是会降温，厚衣服先别收哦。	0	是	太阳出来了，这次应该不会再降温了吧？@深圳天气 
03-26	4	57	71	目前气温20-23℃，湿度75%-85%，是个适合夜跑的天气，大家动起来吧，坚持跑步3万天，一定可活100岁。 	98	否	
03-26	3	44	45	吃口雪糕一时爽，一直吃一直爽	0	是	下午有点闷热啊@深圳天气 ，吃个雪糕凉快一下 深圳 · 松岗街区 yaya购物乐园的微博视频 
03-26	0	7	8	【下班天气】预计17-20时，全市多云到晴天；气温22-24℃；东北风2-3级；相对湿度70%-90%；全市能见度基本在10公里以上。多云到晴天，较适合户外活动。 深圳市气象台2019年03月26日16时35分发布。网页链接 	199	否	
03-26	5	50	12	【深圳市天气提示】27-28日天气暖湿，早晚有轻雾或雾：27日多云间晴天，气温20-27℃；29日多云转雷阵雨；30-31日受冷空气影响，转（雷）阵雨，部分时间雨势稍大，天气明显转凉。未来2-3天请关注低能见度天气对出行的影响。深圳市气象台2019年3月26日16时发布网页链接 	257	否	
03-26	0	32	47	春天万物萌芽，晴空轻风微瑕，咱也附庸风雅，太阳西挂，满目衣裤能咋？ 	66	否	
03-26	2	59	50	这个楼顶位置非常棒，下午可见阳光，适宜晾晒，如果住的地方没有楼顶晾晒，可以建议先买个楼。	0	是	@深圳天气 彦祖 瞧瞧我这个晒被子的地方如何？😄 深圳·半岛城邦 SZ_林子的微博视频 
03-26	2	44	56	云层变薄了，大家有没有抢占到晒被子的有利地形？👏 	50	否	
03-26	5	40	43	气温虽有回升，大家也不可骤褪衣物，谨防感冒哦 	44	否	
03-26	0	38	48	衣物可以拿粗来lei	0	是	太阳出来了打call@深圳天气 深圳天气 深圳·香蜜湖 
03-26	11	84	61	今日可见阳光咯。气温也要回升了，白天最高气温26度，穿不穿短袖自己看着办。网页链接 	96	否	
03-26	9	13	29	【上班天气】中北部及西部地区有轻雾：预计早晨6-9时，全市多云，部分地区有轻雾；气温19-21℃；东北风2-3级；中北部及西部地区能见度在2-5公里，南部及东部地区能见度在10-20公里。天气回暖，外出及时增减衣服。 深圳市气象台2019年03月26日05时32分发布。网页链接 	256	否	
03-26	4	12	31	【今日天气】我市多云；气温20-26℃；东风3级；相对湿度70%-90% 深圳市气象台2019年03月26日05时19分发布。网页链接 	118	否	
03-25	1	17	15	市区大部分路段能见度较差，夜间驾车出行，注意减速慢行！网页链接 	72	否	
03-25	3	53	67	今天下午开始气温便逐渐回升，目前全市气温19-20℃，未来几天早晚较凉，但白天体感温暖，“不知道明天该穿什么”的季节又要到来。 	127	否	
03-25	15	113	80	可能大家也发现了，虽然明天开始要升温，但到周末后又双叒叕要转凉了，历史总是惊人的相似，长袖和外套还不能退出历史舞台。 	116	否	
03-25	0	7	10	【下班天气】预计17-20时，全市阴天；气温17-20℃；东北风2-3级；夜间天气稍凉，请及时添加衣服。 深圳市气象台2019年03月25日16时32分发布。网页链接 	150	否	
03-25	4	26	29	【深圳市天气提示】明日起可见阳光气温逐日回升：26-28日多云，可见阳光，气温逐日回升，早晚有轻雾，26日气温18-25℃；29-31日冷空气影响，我市转阵雨或雷阵雨，气温下降，天气转凉。冷暖转换快，请注意做好相关疾病的预防工作。深圳市气象台2019年03月25日16时10分发布网页链接 	269	否	
03-25	5	61	36	今天天气还是挺凉的，明天起气温要一点点回升了 	44	否	
03-25	1	58	67	上午才出了一小会儿太阳，就被你们刚刚的热情吓得躲回云层了，欲擒故纵式撩法你们知道不？以后都学着点！ 	104	否	
03-25	4	73	89	这波的雨趋于结束了，部分地区可见阳光了 	44	否	
03-25	11	100	138	阴雨天气的周一早晨，仿佛从灰色嘈杂的梦里醒来，又来到了灰色的人间。 	66	否	
03-25	10	53	55	降雨正在影响我市西北部地区，预计将持续至中午前后，但雨势相对平缓。并且在阴雨天气的影响下，西北部地区的气温已经率先实现了"满30减15"，各位外出注意添衣。 	150	否	
03-25	5	43	29	【能见度较低，白天仍有雨】在雨雾天气的影响下，全市大部分地区能见度在3公里以内，请各位周一上班、上学的注意交通安全。另，今天白天仍有降雨，预计将在上班早高峰期间影响我市西部地区，请大家注意提早出门。@深圳交警 	218	否	
03-25	0	12	28	【深圳市低能见度提示】受雨雾天气影响，我市中部和西部地区能见度较低，普遍在3公里以下，请注意交通安全。深圳市气象台2019年03月25日06时37分发布网页链接 	157	否	
03-25	3	7	30	【上班天气】预计早晨7-9时，全市阴天，有小雨；气温17-18℃，北部地区略低1-2℃；东北风2-3级；受雨雾天气影响，全市大部分地区能见度较差，出行请注意安全；早晨天气较凉，请及时添加衣服；白天仍有雨，出门注意带伞。 深圳市气象台2019年03月25日06时22分发布。网页链接 	263	否	
03-25	5	5	24	【今日天气】我市阴天，有小到中雨；气温17-21℃；东北风2-3级；相对湿度85%-95% 深圳市气象台2019年03月25日06时03分发布。网页链接 	134	否	
03-25	2	34	44	冷空气逐渐减弱，偏南风正在加大，目前全市部分地区阵风达到6-7级，如果半夜被吵醒看到这条微博，记得关好门窗，收回户外衣物哦~ 	132	否	
03-25	0	8	21	【深圳市大风提示】受偏南气流影响，今天凌晨到早晨我市沿海和高地东南风较大，最大阵风可达6-7级，请注意做好防风措施。深圳市气象台2019年03月25日01时38分发布网页链接 	169	否	
03-24	16	53	75	【明早体感较冷】短短周末两天，我们却先后过完了“春、夏、秋”三个季节🙃，预计明天午后冷空气逐渐减弱，但在冷空气减弱之前，明早的最低气温将在15℃左右，各位明早注意添件外套。但周二起随着气温回升，“乱穿衣+出门不知穿什么”的季节又要到来了。 	243	否	
03-24	3	31	26	【今天全市哪个区比较温暖？】从今天最低气温分布来看，南山区和大鹏新区普遍比其他地区相对温暖一些。大鹏半岛相对偏暖是由于海水的比热容比陆地要大，也就是说海洋散热的速度比陆地慢。南山区的海岸线并不是很长，最低气温也偏高，难道是由于许多人今天依然加班得热情似火？ 	270	否	
03-24	4	56	33	【明日持续阴天有雨】在阴雨天气的影响下，目前全市气温普遍在16-17℃，但广东北部以及与湖南交界处再次出现了零散的降雨云系，所以降雨并没有完全结束，预计明天还会有雨的~ 	168	否	
03-24	0	17	13	【下班天气】傍晚有分散小雨，体感阴凉：预计17-20时，全市阴天有分散小雨；气温16-17℃；吹清劲的东北风；雨时能见度较差，出行请注意安全；天气阴凉，请及时添加衣服；阴天有雨，出门带伞。 深圳市气象台2019年03月24日16时59分发布。网页链接 	237	否	
03-24	7	38	31	【深圳未来一周天气】下周二起可见阳光气温回升：周一阴天，有小到中雨，局部大雨，气温15-19℃；周二至周四可见阳光，气温逐步回升，最高气温可回升至25℃或以上，天气渐转暖湿，其中周三至周四早晚有轻雾或雾；周五至周六受新一股冷空气影响，有小雨，天气稍凉。冷暖转换快，网页链接 	275	否	
03-24	40	17	142	666....//@深南向上: 转发微博	0	是	月圆之时，宜延时，宜长焦 @深圳天气 #延时摄影# 深圳 · 福田区 HDinAIR的微博视频 
03-24	2	21	32	这波间歇性小雨已经转移到东部了，很快就移出我市，今天下午至夜间有分散小雨，很小的那种，所以带不带伞呢，还是带吧，以防万一嘛。 	124	否	
03-24	3	58	77	穿短裤不算什么，短袖短裤才厉害 	30	否	
03-24	2	32	33	间歇性小雨来了，持续时间巨短，就10分钟左右。先龙华和宝安，后南山、福田、罗湖、龙岗。 	90	否	
03-24	9	80	66	今天午后至傍晚，我市仍然有间歇性小雨（解释：小心有雨），气温在17-20℃，给老天个面子，穿多件衣服，出门带把伞吧。 	117	否	
03-24	16	49	85	回复@深圳交警:哈哈，周末“优惠”活动多，大减再送雨//@深圳交警:“优惠”力度很大	0	是	早晨我市气温14-15℃，用一句话概括深圳的气温，满30立减15。 
03-24	1	72	57	送大家一个相对不错的消息，今天白天间歇性有小雨，意思就是大部分时段基本没什么雨（比如上午），是不是挺不错。 	118	否	
03-24	58	123	220	早晨我市气温14-15℃，用一句话概括深圳的气温，满30立减15。 	69	否	
03-24	7	68	72	昨天夜间，冷空气携带降水给温度来了个大跳水，今天早晨的最低气温降至13-14℃，今天白天依然有零散的降雨回波东移影响我市，并带来小雨，早晚清凉，大家注意保暖，气温变化快，谨防感冒。 	187	否	
